종목코드,종목명,현재가,등락률,거래대금_억
229000,젠큐릭스,4510,29.97,952.99828511
000250,삼천당제약,757000,29.85,5746.918
042700,한미반도체,275500,28.44,15411.0716675
242040,나무기술,5950,25.13,925.13187742
307180,아이엘,9160,24.8,607.34749075
011070,LG이노텍,345000,20.0,3864.122035
039440,에스티아이,40800,19.65,811.73225025
187660,현대ADM,18670,19.14,7172.147963
001510,SK증권,2150,18.98,7633.65311144
448900,한국피아이엠,125000,17.92,576.9851045
131030,옵투스제약,12690,17.5,840.75227565
080220,제주반도체,50700,16.55,12919.37151625
036540,SFA반도체,8340,16.32,4417.0326382
234340,헥토파이낸셜,27000,15.63,1718.3816855
226590,엠디바이스,30300,15.43,516.492221
047040,대우건설,10050,14.86,7616.2573977
432470,케이엔에스,16750,13.95,718.19257045
489790,한화비전,86000,13.46,6025.317115
012330,현대모비스,529000,12.67,4596.09418
039030,이오테크닉스,421000,12.57,1032.4104875
084370,유진테크,137700,12.32,637.481749
277810,레인보우로보틱스,880000,11.68,5140.40227
950160,코오롱티슈진,105000,10.53,1035.153484
240810,원익IPS,126500,10.19,1689.5451515
066570,LG전자,146700,10.05,6644.586351
058470,리노공업,106800,9.88,2028.071676
125020,티씨머티리얼즈,6380,9.62,867.74644105
161580,필옵틱스,54600,9.2,541.6336525
095610,테스,75600,8.15,515.6588685
000660,SK하이닉스,1099000,7.96,46272.983135
254490,미래반도체,21600,7.46,699.32466525
067310,하나마이크론,37150,7.22,1508.85224425
005930,삼성전자,218000,7.13,64089.584055
018260,삼성에스디에스,191300,7.05,1329.7062835
035720,카카오,61400,6.97,5857.2876765
034220,LG디스플레이,15850,6.95,2530.6607327
0007C0,아크릴,45150,6.86,731.51713425
036930,주성엔지니어링,56100,6.86,1096.858733
003460,유화증권,4060,6.84,820.42883921
046890,서울반도체,13210,6.79,1761.65583265
010120,LS ELECTRIC,803000,6.64,1945.385025
377300,카카오페이,68300,6.55,2162.133852
005380,현대차,609000,6.47,17076.957085
178320,서진시스템,39100,6.25,1219.6777465
008830,대동기어,24300,6.11,941.35665975
099320,쎄트렉아이,192100,5.78,561.645577
018880,한온시스템,4785,5.63,2600.46181681
403870,HPSP,43300,5.61,3210.24755475
036810,에프에스티,42650,5.31,534.6113375
005830,DB손해보험,205500,5.28,1538.3632295
089030,테크윙,46800,5.17,1030.548445
086520,에코프로,184200,5.14,10530.096438
103590,일진전기,88900,5.08,1118.9367155
000270,기아,206000,5.05,4009.3138185
092220,KEC,1250,5.04,564.9421417
278470,에이피알,317000,4.97,2541.757715
402340,SK스퀘어,679000,4.95,5110.386575
001200,유진투자증권,5510,4.95,1312.06889645
298040,효성중공업,2898000,4.89,1813.15815
161890,한국콜마,75000,4.75,550.7985435
232140,와이씨,22200,4.72,502.1319475
005935,삼성전자우,148700,4.5,9835.9788865
336260,두산퓨얼셀,39800,4.46,703.830074
000720,현대건설,162000,4.38,3000.694522
267260,HD현대일렉트릭,1111000,4.32,2768.136955
000150,두산,1215000,4.29,2769.03231
003530,한화투자증권,8530,4.02,4871.35143915
001440,대한전선,35350,3.97,4000.27493875
064400,LG씨엔에스,74300,3.92,1620.0954385
060250,NHN KCP,21850,3.8,829.664456
028260,삼성물산,360000,3.75,2203.4880425
001500,현대차증권,13370,3.72,594.9402964
006400,삼성SDI,449000,3.7,4966.2002875
253590,네오셈,18480,3.59,1136.0278451
086280,현대글로비스,290500,3.57,1469.799975
006340,대원전선,6410,3.55,1117.96307645
003550,LG,103400,3.5,836.255278
221800,유투바이오,26850,3.47,2252.74146125
000990,DB하이텍,94000,3.41,524.303901
098460,고영,32200,3.37,817.708911
034730,SK,422500,3.3,1695.63458
383310,에코프로에이치엔,37400,3.17,864.5972025
353200,대덕전자,65300,3.16,1262.5736125
058610,에스피지,151700,2.99,1156.998142
035420,NAVER,260500,2.96,4955.15817
108490,로보티즈,296500,2.95,1004.0322225
454910,두산로보틱스,110400,2.89,598.583375
457190,이수스페셜티케미컬,106800,2.59,835.626595
062040,산일전기,170600,2.59,522.619649
064260,다날,8630,2.37,945.52752755
005385,현대차우,310500,2.31,720.943355
005387,현대차2우B,314500,2.28,999.0770775
207940,삼성바이오로직스,1766000,2.2,1428.56169
007660,이수페타시스,118500,2.07,1927.4346675
307950,현대오토에버,505000,2.02,1779.9404025
298380,에이비엘바이오,191100,1.97,1107.77476
087010,펩트론,286500,1.78,525.797065
004020,현대제철,38800,1.7,523.9056495
060720,KH바텍,18000,1.64,613.434179
247540,에코프로비엠,219500,1.62,1877.73907
017670,SK텔레콤,82300,1.6,813.7200285
141080,리가켐바이오,187300,1.57,741.9358685
0126Z0,삼성에피스홀딩스,681000,1.19,1209.73666
052690,한전기술,170100,1.13,588.7813045
006800,미래에셋증권,73600,0.96,3806.4092035
016360,삼성증권,111100,0.91,658.8331295
039490,키움증권,471500,0.86,592.9891225
047810,한국항공우주,183900,0.77,1210.768049
051910,LG화학,390000,0.65,1814.7680125
034020,두산에너빌리티,103800,0.58,4293.91548
049630,재영솔루텍,4365,0.46,1983.3260082
450080,에코프로머티,70200,0.43,1525.444071
003670,포스코퓨처엠,247000,0.41,1332.52673
055550,신한지주,99900,0.4,1536.039338
012860,모베이스전자,5020,0.4,2600.09992011
021240,코웨이,84100,0.36,663.9440115
009150,삼성전기,466500,0.32,3902.4133525
005940,NH투자증권,36500,0.27,641.1627155
196170,알테오젠,403000,0.25,1634.2483775
005490,POSCO홀딩스,407500,0.25,3028.43759
0015G0,그린광학,42650,0.24,601.8388675
373220,LG에너지솔루션,427000,0.23,2313.5639775
000880,한화,139200,0.07,763.0606325
