종목코드,종목명,현재가,등락률,거래대금_억
064260,다날,7800,30.0,547.30342685
005810,풍산홀딩스,47250,29.99,526.32402775
017900,광전자,5790,29.97,1299.06930938
408470,한패스,19170,29.97,1072.5009447
0010F0,보원케미칼,11070,22.05,2899.18005095
008350,남선알미늄,2130,18.01,4221.24575386
049080,기가레인,2390,16.87,1888.59645179
001250,GS글로벌,3690,16.4,1469.49483818
062970,한국첨단소재,4095,14.55,2624.37864333
001780,알루코,2780,13.93,1077.36943023
402490,그린리소스,14900,13.22,693.76635275
340440,세림B&G,2280,13.15,909.91039256
103140,풍산,109300,12.91,2571.960827
018470,조일알미늄,1606,12.78,1365.84585759
028050,삼성E&A,45650,12.58,4917.92245325
020150,롯데에너지머티리얼즈,45450,12.36,517.55769925
093370,후성,9900,10.99,988.163482
222800,심텍,54500,9.99,525.8204185
187660,페니트리움바이오,11280,8.78,509.80604185
234340,헥토파이낸셜,24800,7.83,907.86808225
014160,대영포장,1270,7.72,786.56495948
005860,한일사료,4390,6.94,914.77486496
425040,티이엠씨,14020,6.7,781.64369105
010170,대한광통신,13590,6.67,11913.48779955
010950,S-Oil,118100,6.01,1017.6051285
023160,태광,43800,5.93,621.36801275
006110,삼아알미늄,38000,5.56,938.67562325
279570,케이뱅크,6180,5.1,750.42614295
100700,세운메디칼,2880,4.73,835.82792241
138080,오이솔루션,44000,4.39,596.59447525
038500,삼표시멘트,15000,4.31,618.42964085
096770,SK이노베이션,123200,4.23,750.60378
051910,LG화학,317000,4.11,947.8105375
010120,LS ELECTRIC,799000,3.9,954.096715
247540,에코프로비엠,199900,3.79,1156.0589315
005935,삼성전자우,129100,3.78,3239.186941
011930,신성이엔지,3575,3.77,3968.12283106
038110,에코플라스틱,4020,3.74,1251.83522468
005930,삼성전자,193100,3.71,39717.404013
011070,LG이노텍,336500,3.7,822.86842
373220,LG에너지솔루션,412500,3.51,1621.155785
006400,삼성SDI,453500,3.42,5142.94922
069540,빛과전자,3355,3.23,547.25601017
047040,대우건설,17310,2.97,5171.37810015
375500,DL이앤씨,77200,2.93,1720.3810845
298040,효성중공업,2633000,2.85,942.009465
066970,엘앤에프,170600,2.52,1571.4825865
028260,삼성물산,269500,2.47,1071.2206375
086790,하나금융지주,112400,2.46,638.2756305
027360,아주IB투자,9030,2.27,696.5148857
007660,이수페타시스,104800,2.14,664.6238465
039490,키움증권,420500,2.06,531.8602675
267270,HD건설기계,149000,1.98,578.2638785
105560,KB금융,147900,1.65,850.326234
009150,삼성전기,462000,1.32,1678.05153
095340,ISC,240000,1.27,1905.0558445
267260,HD현대일렉트릭,894000,1.25,582.462995
178320,서진시스템,45750,1.22,520.2612665
055550,신한지주,92900,1.2,628.214402
000660,SK하이닉스,886000,1.14,27430.88623
086520,에코프로,143000,1.06,1385.910859
060250,NHN KCP,15580,0.97,532.8047075
000270,기아,151600,0.93,930.0054915
033790,피노,10330,0.88,1041.72975
402340,SK스퀘어,487000,0.83,1458.9780325
000150,두산,1078000,0.65,740.12986
450080,에코프로머티,68900,0.58,675.4553775
000720,현대건설,151900,0.53,1028.2228975
064350,현대로템,211000,0.48,1203.285585
092790,넥스틸,14990,0.47,1006.267961
005490,POSCO홀딩스,349000,0.43,917.6454125
100790,미래에셋벤처투자,27550,0.36,642.21836
047810,한국항공우주,183100,0.27,996.316348
068270,셀트리온,195800,0.26,652.9839075
006800,미래에셋증권,63200,0.16,1036.9920285
012450,한화에어로스페이스,1450000,0.07,1856.92446
